x,r,u,p,e
0.003125, 1, -4.50751e-16, 1, 2.5
0.009375, 1, 1.44884e-15, 1, 2.5
0.015625, 1, -2.37366e-15, 1, 2.5
0.021875, 1, -3.29126e-14, 1, 2.5
0.028125, 1, -4.74698e-14, 1, 2.5
0.034375, 1, 9.63463e-14, 1, 2.5
0.040625, 1, 3.30789e-13, 1, 2.5
0.046875, 1, -8.45224e-14, 1, 2.5
0.053125, 1, -1.62379e-12, 1, 2.5
0.059375, 1, -1.42502e-12, 1, 2.5
0.065625, 1, 5.79189e-12, 1, 2.5
0.071875, 1, 1.3224e-11, 1, 2.5
0.078125, 1, -9.99576e-12, 1, 2.5
0.084375, 1, -7.01688e-11, 1, 2.5
0.090625, 1, -4.3321e-11, 1, 2.5
0.096875, 1, 2.4516e-10, 1, 2.5
0.103125, 1, 4.95631e-10, 1, 2.5
0.109375, 1, -3.71884e-10, 1, 2.5
0.115625, 1, -2.51709e-09, 1, 2.5
0.121875, 1, -1.89878e-09, 1, 2.5
0.128125, 1, 7.35724e-09, 1, 2.5
0.134375, 1, 1.76949e-08, 1, 2.5
0.140625, 1, -2.93249e-09, 1, 2.5
0.146875, 1, -7.08594e-08, 1, 2.5
0.153125, 1, -9.41844e-08, 1, 2.5
0.159375, 1, 1.15019e-07, 1, 2.5
0.165625, 1, 5.14181e-07, 0.999999, 2.5
0.171875, 1, 4.12127e-07, 1, 2.5
0.178125, 1, -1.08929e-06, 1, 2.5
0.184375, 1, -3.16073e-06, 1, 2.5
0.190625, 1, -1.70105e-06, 1, 2.5
0.196875, 0.999994, 7.41786e-06, 0.999991, 2.49999
0.203125, 0.999984, 1.91782e-05, 0.999977, 2.49998
0.209375, 0.999988, 1.4045e-05, 0.999983, 2.49999
0.215625, 1.00002, -2.65952e-05, 1.00003, 2.50002
0.221875, 1.00007, -8.10361e-05, 1.0001, 2.50007
0.228125, 1.00004, -5.14822e-05, 1.00006, 2.50004
0.234375, 0.99979, 0.000248852, 0.999705, 2.49979
0.240625, 0.999044, 0.00113101, 0.998661, 2.49904
0.246875, 0.99733, 0.0031614, 0.996264, 2.49733
0.253125, 0.993706, 0.00746533, 0.991201, 2.4937
0.259375, 0.986574, 0.0159714, 0.981259, 2.48653
0.265625, 0.975058, 0.0298068, 0.965264, 2.47489
0.271875, 0.959933, 0.0481813, 0.94437, 2.45947
0.278125, 0.942555, 0.0695858, 0.920523, 2.44156
0.284375, 0.924048, 0.0927315, 0.895317, 2.42227
0.290625, 0.905102, 0.116813, 0.869722, 2.40228
0.296875, 0.886069, 0.141414, 0.844223, 2.38194
0.303125, 0.867115, 0.166337, 0.819048, 2.36142
0.309375, 0.848326, 0.191477, 0.794308, 2.34081
0.315625, 0.829751, 0.216773, 0.770062, 2.32016
0.321875, 0.811419, 0.242186, 0.746347, 2.29951
