x,r,u,p,e
0.00625, 1, 1.05857e-10, 1, 2.5
0.01875, 1, -4.93571e-11, 1, 2.5
0.03125, 1, -1.21203e-09, 1, 2.5
0.04375, 1, -1.40353e-09, 1, 2.5
0.05625, 1, 8.66118e-09, 1, 2.5
0.06875, 1, 2.25171e-08, 1, 2.5
0.08125, 1, -5.69678e-09, 1, 2.5
0.09375, 1, -1.79131e-07, 1, 2.5
0.10625, 1, -2.95918e-07, 1, 2.5
0.11875, 1, 3.28893e-07, 1, 2.5
0.13125, 0.999998, 2.48831e-06, 0.999997, 2.5
0.14375, 0.999997, 3.58856e-06, 0.999996, 2.5
0.15625, 1, -3.23071e-06, 1, 2.5
0.16875, 1.00002, -2.6879e-05, 1.00003, 2.50002
0.18125, 1.00004, -4.35256e-05, 1.00005, 2.50004
0.19375, 1.00001, -1.46695e-05, 1.00002, 2.50001
0.20625, 0.999779, 0.000260585, 0.999691, 2.49978
0.21875, 0.998987, 0.00119664, 0.998582, 2.49899
0.23125, 0.996886, 0.00368638, 0.995644, 2.49688
0.24375, 0.991801, 0.00973289, 0.988544, 2.49179
0.25625, 0.980085, 0.0237614, 0.972244, 2.48
0.26875, 0.958254, 0.0502216, 0.94208, 2.4578
0.28125, 0.928081, 0.0876304, 0.900828, 2.42659
0.29375, 0.89346, 0.131798, 0.854139, 2.38998
0.30625, 0.857345, 0.179355, 0.806193, 2.35084
0.31875, 0.821272, 0.228483, 0.759099, 2.31074
0.33125, 0.785871, 0.278403, 0.713679, 2.27034
0.34375, 0.751392, 0.328784, 0.670223, 2.22994
0.35625, 0.717954, 0.379449, 0.628826, 2.18965
0.36875, 0.685588, 0.43029, 0.589512, 2.14966
0.38125, 0.654394, 0.481221, 0.552257, 2.1098
0.39375, 0.62426, 0.532178, 0.517022, 2.07054
0.40625, 0.59532, 0.583089, 0.483766, 2.03154
0.41875, 0.567556, 0.633848, 0.452432, 1.9929
0.43125, 0.540986, 0.684373, 0.423027, 1.95489
0.44375, 0.515488, 0.734371, 0.395485, 1.91801
0.45625, 0.491406, 0.783656, 0.369969, 1.8822
0.46875, 0.469423, 0.831143, 0.346572, 1.84573
0.48125, 0.449711, 0.874934, 0.326299, 1.81394
0.49375, 0.432451, 0.908959, 0.311259, 1.79939
0.50625, 0.429177, 0.923574, 0.304392, 1.77311
0.51875, 0.426911, 0.92763, 0.303255, 1.77587
0.53125, 0.425604, 0.927633, 0.303164, 1.78079
0.54375, 0.424591, 0.929326, 0.302584, 1.78162
0.55625, 0.42484, 0.929226, 0.302536, 1.7803
0.56875, 0.425451, 0.929062, 0.302554, 1.77784
0.58125, 0.425445, 0.92873, 0.302602, 1.77815
0.59375, 0.42398, 0.928346, 0.302661, 1.78464
0.60625, 0.422898, 0.92804, 0.302775, 1.78988
0.61875, 0.423871, 0.927923, 0.302933, 1.78671
0.63125, 0.427421, 0.927928, 0.303124, 1.77298
0.64375, 0.428401, 0.928001, 0.3033, 1.76995
0.65625, 0.424099, 0.928015, 0.303402, 1.78851
0.66875, 0.401949, 0.92792, 0.303404, 1.88708
0.68125, 0.348843, 0.927699, 0.303333, 2.17385
0.69375, 0.29553, 0.92739, 0.303226, 2.5651
0.70625, 0.270057, 0.927114, 0.303135, 2.80621
0.71875, 0.263916, 0.926973, 0.303088, 2.87107
0.73125, 0.262749, 0.926966, 0.303083, 2.88376
0.74375, 0.263139, 0.927279, 0.303182, 2.88044
0.75625, 0.264743, 0.92804, 0.30343, 2.86533
0.76875, 0.266183, 0.928801, 0.303677, 2.85215
0.78125, 0.266839, 0.92924, 0.303816, 2.84644
0.79375, 0.266911, 0.929362, 0.303846, 2.84595
0.80625, 0.266586, 0.928916, 0.303687, 2.84793
0.81875, 0.265275, 0.925419, 0.302505, 2.85086
0.83125, 0.260985, 0.90742, 0.296471, 2.83992
0.84375, 0.241037, 0.805046, 0.264664, 2.74506
0.85625, 0.173228, 0.392211, 0.163957, 2.36621
0.86875, 0.130939, 0.0510149, 0.106912, 2.04126
0.88125, 0.125555, 0.00486917, 0.100624, 2.00358
0.89375, 0.12503, 0.000382931, 0.100033, 2.00019
0.90625, 0.124995, -4.71803e-05, 0.0999942, 1.99997
0.91875, 0.124999, -7.89066e-06, 0.0999989, 1.99999
0.93125, 0.125001, 4.70597e-06, 0.100001, 2
0.94375, 0.125, 5.78848e-07, 0.1, 2
0.95625, 0.125, -3.39746e-07, 0.1, 2
0.96875, 0.125, -9.46114e-09, 0.1, 2
0.98125, 0.125, 2.76136e-08, 0.1, 2
0.99375, 0.125, -1.55606e-10, 0.1, 2
